Episode Number,Pitch Number,Brand,Idea,Category,City,state,Investment Amount,Investment Amount(lakhs),Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Total investers,Investment per head,Equity per head,Valuation,,longitude,latitude,,city,lat,lng
1,1,BluePine Industries,Frozen Momos,Food and beverages,Faridabad,Haryana,75,7500000,0,18%,0,1,0,1,0,1,0,3,2500000,6%,"4,16,66,667",,20,73.7833,,Delhi,28.66,77.23
1,2,Booz scooters,Renting e-bike for mobility in private spaces,Automotive,Ahmedabad,Gujrat,40,4000000,0,50%,0,1,0,0,0,1,0,2,2000000,25%,"80,00,000",,23.03,72.58,,Mumbai,18.9667,72.8333
1,3,Heart up my Sleeves,Detachable Sleeves,Fashion,Delhi,Delhi,25,2500000,0,30%,1,0,0,0,0,1,0,2,1250000,15%,"83,33,333",,28.66,77.23,,Kolkata,22.5411,88.3378
2,4,Tagz Foods,Healthy Potato Chips,Food and beverages,Bangalore,Karnataka,70,7000000,0,2.75%,0,1,0,0,0,0,0,1,7000000,3%,"25,45,45,455",100000,12.9699,77.598,,Bangalore,12.9699,77.598
2,5,Head and Heart,Brain Development Course,Education,Patiala,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,30.3204,76.385,,Chennai,13.0825,80.275
2,6,Agro tourism,Tourism,Tourism,Pune,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.5196,73.8553,,Hyderabad,17.3667,78.4667
3,7,Qzense Labs,Food Freshness Detector,Food and beverages,Bangalore,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,12.9699,77.598,,Pune,18.5196,73.8553
3,8,Peeschute,Disposable Urine Bag,,Jalna,Maharashtra,75,7500000,0,6%,0,0,0,1,0,0,0,1,7500000,6%,"12,50,00,000",,,,,Ahmedabad,23.03,72.58
3,9,NOCD,Energy Drink,Food and beverages,Bangalore,Karnataka,20,2000000,30,15%,0,0,0,0,0,1,0,1,2000000,15%,"1,33,33,333",,12.9699,77.598,,S?rat,21.17,72.83
4,10,Cosiq,Intelligent Skincare,Cosmetics,Kolkata,West Bengal,50,5000000,0,25%,1,0,0,0,0,1,0,2,2500000,13%,"2,00,00,000",,22.5411,88.3378,,Lucknow,26.847,80.947
4,11,JhaJi Achaar,Pickle,Food and beverages,Darbhanga,Darbhanga,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,,,Jaipur,26.9167,75.8667
4,12,Bummer,Underwear,Fashion,Ahmedabad,Gujrat,75,7500000,0,7.50%,0,0,1,1,0,0,0,2,3750000,4%,"10,00,00,000",,23.03,72.58,,Cawnpore,26.4725,80.3311
5,13,Revamp Moto,E-Bike,Automotive,Nasik,Maharashtra,10,1000000,0,1.50%,1,0,0,1,0,0,0,2,500000,1%,"6,66,66,667",,20,73.7833,,Mirzapur,25.15,82.58
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,Food and beverages,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Nagpur,21.1539,79.0831
5,15,Shrawani Engineers,Belly Button Shaper,Fashion,Nagpur,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,21.1539,79.0831,,Ghaziabad,28.6667,77.4167
