Investment Amount(lakhs),Debt (In lakhs INR),Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,,dbt,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,,Debt/person,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal
7500000,0,0,1,0,1,0,1,0,3,2500000,0,2500000,0,2500000,0,2500000,0,,0,0,0,0,0,0,0,0
4000000,0,0,1,0,0,0,1,0,2,2000000,0,2000000,0,0,0,2000000,0,,0,0,0,0,0,0,0,0
2500000,0,1,0,0,0,0,1,0,2,1250000,1250000,0,0,0,0,1250000,0,,0,0,0,0,0,0,0,0
7000000,0,0,1,0,0,0,0,0,1,7000000,0,7000000,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
7500000,0,0,0,0,1,0,0,0,1,7500000,0,0,0,7500000,0,0,0,,0,0,0,0,0,0,0,0
2000000,3000000,0,0,0,0,0,1,0,1,2000000,0,0,0,0,0,2000000,0,,3000000,0,0,0,0,0,3000000,0
5000000,0,1,0,0,0,0,1,0,2,2500000,2500000,0,0,0,0,2500000,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
7500000,0,0,0,1,1,0,0,0,2,3750000,0,0,3750000,3750000,0,0,0,,0,0,0,0,0,0,0,0
1000000,0,1,0,0,1,0,0,0,2,500000,500000,0,0,500000,0,0,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
